"Index","equity.value","market.value","loan"
2014-07-31,16697.4917949017,33353.0799882661,16538.8945029903
2014-08-01,16675.6538171328,33350.2495087952,16557.8830127785
2014-08-04,16730.40499371,33405.0006853723,16557.8830127785
2014-08-05,16698.5822172364,33373.1779088988,16557.8830127785
2014-08-06,16693.7817415823,33368.3774332447,16557.8830127785
2014-08-07,16691.8430454664,33366.4387371288,16557.8830127785
2014-08-08,16707.0189205255,33381.6146121879,16557.8830127785
2014-08-11,16715.2756652825,33389.8713569448,16557.8830127785
2014-08-12,16709.3386580285,33383.9343496908,16557.8830127785
2014-08-13,16727.5646808914,33402.1603725537,16557.8830127785
2014-08-14,16721.0668137754,33448.1640301068,16610.3320883719
2014-08-15,16740.8592917172,33467.9565080486,16610.3320883719
2014-08-18,16735.0457884215,33462.1430047529,16610.3320883719
2014-08-19,16730.3996971015,33457.4969134329,16610.3320883719
2014-08-20,16717.0577570863,33444.1549734177,16610.3320883719
2014-08-21,16742.1432555058,33469.2404718372,16610.3320883719
2014-08-22,16748.5772838278,33475.6745001592,16610.3320883719
2014-08-25,16765.4505121351,33492.5477284665,16610.3320883719
2014-08-26,16777.8509050714,33504.9481214027,16610.3320883719
2014-08-27,16782.2280429479,33509.3252592792,16610.3320883719
2014-08-28,16775.159756688,33502.2569730194,16610.3320883719
2014-08-29,16775.7529805651,33502.8501968964,16610.3320883719
2014-09-02,16767.5259110189,33494.6231273502,16610.3320883719
2014-09-03,16778.6881782858,33546.3351296987,16650.8413142276
2014-09-04,16755.8149566129,33523.4619080258,16650.8413142276
2014-09-05,16769.319534639,33536.9664860519,16650.8413142276
2014-09-09,16699.3198135973,33515.7688731434,16699.5946690059
2014-09-10,16659.2574461208,33297.7035109444,16521.4134931075
2014-09-11,16638.139621429,33276.5856862525,16521.4134931075
2014-09-12,16622.1630560455,33260.609120869,16521.4134931075
2014-09-15,16631.5749978751,33270.0210626986,16521.4134931075
2014-09-16,16651.2545738103,33269.7171881815,16501.4100392013
2014-09-17,16621.3356569501,33299.6840606664,16561.236002583
2014-09-19,16613.3071805536,33291.6555842698,16561.236002583
2014-09-22,16575.4003423959,33099.1734299697,16406.4564899253
2014-09-23,16594.2487945141,33118.0218820879,16406.4564899253
2014-09-24,16610.1559971642,33133.929084738,16406.4564899253
2014-09-25,16574.8415859959,33098.6146735696,16406.4564899253
2014-09-26,16577.1642638236,33100.9373513974,16406.4564899253
2014-09-29,16612.5155547574,33136.2886423312,16406.4564899253
2014-09-30,16609.1504375389,33178.6834792087,16452.1707297815
2014-10-08,16660.1043198464,33255.531805844,16478.0393055335
2014-10-09,16643.4176234656,33315.8809183721,16554.9981555923
2014-10-10,16585.8865775668,33222.2280659878,16518.7923132571
2014-10-13,16625.9712961839,33262.3127846049,16518.7923132571
2014-10-14,16615.8100008817,33252.1514893027,16518.7923132571
2014-10-15,16655.9212239344,33314.7706577245,16541.2777731663
2014-10-16,16640.0774645528,33298.9268983428,16541.2777731663
2014-10-17,16625.8775599478,33284.7269937378,16541.2777731663
2014-10-20,16659.9946345481,33318.8440683381,16541.2777731663
2014-10-21,16678.1217935858,33311.3754214895,16515.6563458526
