"Index","value"
2009-07-29,108656.067923252
2009-07-30,108768.254306702
2009-07-31,109101.631332281
2009-08-03,109036.247342892
2009-08-04,108750.828403431
2009-08-05,108791.371715204
2009-08-06,108806.775665612
2009-08-07,108771.98358338
2009-08-10,108808.109833094
2009-08-11,108878.566813901
2009-08-12,108888.012306527
2009-08-13,109138.919888078
2009-08-14,109143.833985638
2009-08-17,109154.743941936
2009-08-18,109184.915666396
2009-08-19,109409.626851947
2009-08-20,109488.995496274
2009-08-21,109383.910197525
2009-08-24,109630.964077432
2009-08-25,109698.754961336
2009-08-26,109655.544456454
2009-08-27,109788.967781359
2009-08-28,109787.506215802
2009-08-31,109861.910514564
2009-09-01,109807.50832435
2009-09-02,109951.401845591
2009-09-03,109882.007734765
2009-09-04,109855.479389547
2009-09-07,109918.528727312
2009-09-08,109945.307518757
2009-09-09,109993.886659502
2009-09-10,110158.924084925
2009-09-11,110254.221093683
2009-09-14,110319.477516145
2009-09-15,110280.717699715
2009-09-16,110331.116981881
2009-09-17,110389.799401103
2009-09-18,110317.359204551
2009-09-21,110293.907278977
2009-09-22,110404.321345441
2009-09-23,110352.993903328
2009-09-24,110412.389469896
2009-09-25,110556.11466586
2009-09-28,110788.898208504
2009-09-29,110691.983204976
2009-09-30,110779.136343308
2009-10-09,110959.471643419
2009-10-12,111002.818913017
2009-10-13,111122.545833929
2009-10-14,111305.82396181
2009-10-15,111245.662306516
2009-10-16,111260.197399956
2009-10-19,111316.890757098
2009-10-20,111349.786999709
2009-10-21,111365.008331624
2009-10-22,111452.296300811
2009-10-23,111303.422449842
2009-10-26,111236.072810547
2009-10-27,111321.738445254
2009-10-28,111182.620056547
2009-10-29,111313.61433977
2009-10-30,111314.442624417
2009-11-02,111333.568959433
2009-11-03,111282.46312958
2009-11-04,111324.624708357
2009-11-05,111302.447220528
2009-11-06,111339.958814836
2009-11-09,111560.650062681
2009-11-10,111511.409430954
2009-11-11,111545.734016524
2009-11-12,111631.593189162
2009-11-13,111809.941942793
2009-11-16,111866.799290779
2009-11-17,111470.631444657
2009-11-18,111643.925083454
2009-11-19,111328.352448962
2009-11-20,111280.610208058
2009-11-23,111625.612107622
2009-11-24,111964.167517259
2009-11-25,112415.002686973
2009-11-26,112284.272769515
2009-11-27,112308.468692318
2009-11-30,111936.778773615
2009-12-01,111951.856184112
2009-12-02,111884.063593578
2009-12-03,111873.740771442
2009-12-04,111637.848491904
2009-12-07,111718.590124339
2009-12-08,111588.39417801
2009-12-09,111559.949858116
2009-12-10,111570.656369466
2009-12-11,111456.603359216
2009-12-14,111520.701419485
2009-12-15,111347.469692182
2009-12-16,111362.790848367
2009-12-17,111276.425364681
2009-12-18,111320.933464769
2009-12-21,111089.707330883
2009-12-22,110945.649732737
2009-12-23,110952.831101375
2009-12-24,110988.8909873
2009-12-25,111021.924259511
2009-12-28,110783.11369205
2009-12-29,110763.897342202
2009-12-30,110790.358428453
2009-12-31,110830.893099112
2010-01-04,110958.330727747
2010-01-05,110996.364685162
2010-01-06,111023.034106421
2010-01-07,110963.913071321
2010-01-08,111065.26119432
2010-01-11,111204.470161174
2010-01-12,111256.554878548
2010-01-13,111239.245433599
2010-01-14,111303.879072656
2010-01-15,111276.69890842
2010-01-18,111322.554680327
2010-01-19,111336.857675248
2010-01-20,111099.780553099
2010-01-22,111264.953129245
2010-01-25,111281.00698668
2010-01-26,111226.179890874
2010-01-27,111179.701270859
2010-01-28,111221.548735901
2010-01-29,111155.471358182
2010-02-01,111317.841410694
2010-02-02,111296.867034826
2010-02-03,111186.398206842
2010-02-04,111138.209518634
2010-02-05,111613.509427227
2010-02-08,111636.692925582
2010-02-09,111775.478779926
2010-02-10,111672.512773783
2010-02-11,111712.844645687
2010-02-12,111700.398020223
2010-02-22,111675.724673562
2010-02-23,111789.238638865
2010-02-24,111849.853004442
2010-02-25,111919.408477021
2010-02-26,112081.934835215
2010-03-01,112139.085162051
2010-03-02,112250.307958801
2010-03-04,112213.594119548
2010-03-05,112198.399272951
2010-03-08,112187.354561388
2010-03-09,112202.872983559
2010-03-10,112213.122830015
2010-03-11,112196.229620836
2010-03-15,112279.190723241
2010-03-16,112553.937917063
2010-03-17,112571.540613748
2010-03-18,112475.432392366
2010-03-19,112421.136097142
2010-03-22,112524.51276071
2010-03-23,112525.831073976
2010-03-24,112615.731035962
2010-03-25,112607.136771662
2010-03-26,112223.007804834
2010-03-29,112282.754415932
2010-03-30,112296.699103791
2010-03-31,112432.674927272
2010-04-01,112444.949661355
2010-04-02,112376.63801851
2010-04-06,112248.103261867
2010-04-07,112292.263940743
2010-04-08,112556.915885075
2010-04-09,112431.791569376
2010-04-12,112482.098334797
2010-04-13,112518.570182272
2010-04-14,112516.756013238
2010-04-15,112445.301673657
2010-04-16,112531.758507827
2010-04-19,112514.681263749
2010-04-20,112569.972168965
2010-04-21,112549.608071424
2010-04-22,112430.459569722
2010-04-23,112493.133185611
2010-04-26,112552.057788487
2010-04-27,112500.963940644
2010-04-28,112509.900041605
2010-04-29,112637.166154637
2010-04-30,112770.875787717
2010-05-04,112540.386797326
2010-05-05,112592.569135031
2010-05-06,112510.66891022
2010-05-07,112622.588280036
2010-05-10,112824.75076627
2010-05-11,112798.551064186
2010-05-12,112792.765660334
2010-05-13,112755.754786131
2010-05-14,112723.274211474
2010-05-17,112795.202336261
2010-05-18,112685.015265135
2010-05-19,112676.157163801
2010-05-20,112681.274287684
2010-05-21,112916.46954082
2010-05-24,112787.234651387
2010-05-25,112961.811867305
2010-05-26,112723.636435156
2010-05-27,112864.391149716
2010-05-28,112872.226588196
2010-05-31,112882.568509986
2010-06-01,112735.589419593
2010-06-02,112722.725958983
2010-06-03,112635.86703565
2010-06-04,112528.56005118
2010-06-07,112583.037593206
2010-06-08,112715.062552962
2010-06-09,112722.079764257
2010-06-10,112795.585950386
2010-06-11,112898.730012629
2010-06-17,113162.460455848
2010-06-18,113165.784021977
2010-06-21,113070.035836196
2010-06-22,113156.370594876
2010-06-23,113280.523822787
2010-06-24,113179.291509013
2010-06-25,113346.663841397
2010-06-28,113418.534069962
2010-06-29,113321.831499556
2010-06-30,113313.008499627
2010-07-01,113470.597726723
2010-07-02,113432.461503155
2010-07-05,113482.752841106
2010-07-06,113785.089613177
2010-07-07,113780.827344917
2010-07-08,113879.717930377
2010-07-09,113609.22477309
2010-07-12,113964.988376447
2010-07-13,114031.387238323
2010-07-14,114105.727034248
2010-07-15,114284.343427726
2010-07-16,114306.640312024
2010-07-19,114275.943504013
2010-07-20,114337.994143636
2010-07-21,114309.886618428
2010-07-22,114438.454761029
2010-07-23,114403.77656166
2010-07-26,114496.710414978
2010-07-27,114360.199206405
2010-07-28,114403.378393549
2010-07-29,114487.598342994
2010-07-30,114539.396107822
2010-08-02,114694.799545954
2010-08-03,114824.595539852
2010-08-04,115021.291823772
2010-08-05,115109.793924465
2010-08-06,115269.709992731
2010-08-09,115251.107993008
2010-08-10,115254.311105675
2010-08-11,115075.11239336
2010-08-12,115083.603842529
2010-08-13,115103.959037475
2010-08-16,115442.739226394
2010-08-17,115481.339323936
2010-08-18,115465.773613877
2010-08-19,115460.295590728
2010-08-20,115393.910150762
2010-08-23,115411.380828971
2010-08-24,115473.536705297
2010-08-27,115524.566600241
2010-08-30,115535.207484137
2010-08-31,115680.465643622
2010-09-01,115773.622323208
2010-09-02,115669.569585575
2010-09-03,115683.785712076
2010-09-06,115620.712275624
2010-09-07,115647.91723127
2010-09-08,115653.171159507
2010-09-09,115486.165827828
2010-09-10,115349.551577483
2010-09-13,115653.603081975
2010-09-14,115768.872094103
2010-09-15,115649.048888391
2010-09-16,115494.980767161
2010-09-17,115587.805975627
2010-09-20,115648.975726677
2010-09-21,115671.588320587
2010-09-27,115803.590844572
2010-09-28,116027.683239638
2010-09-29,116029.288104914
2010-09-30,116145.852178048
2010-10-08,116524.509132929
2010-10-11,116465.661410377
2010-10-12,116474.638167559
2010-10-13,116472.578295161
2010-10-14,116431.350905856
2010-10-15,116230.383173874
2010-10-18,116307.201149537
2010-10-19,116134.936735982
2010-10-20,116253.653658793
2010-10-21,116046.099022249
2010-10-22,116114.814665107
2010-10-25,116147.816093013
2010-10-26,115921.407387551
2010-10-27,115633.740970708
2010-10-28,115864.533434893
2010-10-29,115938.398884172
2010-11-01,116029.57271076
2010-11-02,116049.625566587
2010-11-03,116131.310475156
2010-11-04,116246.699257247
2010-11-05,116063.391176969
2010-11-08,116022.553922412
2010-11-09,115661.642373134
2010-11-10,115555.464996775
2010-11-11,115279.828512837
2010-11-12,115186.382484992
2010-11-15,114937.225787273
2010-11-16,114976.817192876
2010-11-17,115018.998085805
2010-11-18,115027.000722777
2010-11-19,115096.692755129
2010-11-22,115180.848874334
2010-11-23,115001.076672701
