"Index","value"
2004-06-04,96725.1463477132
2004-06-07,98023.373335898
2004-06-08,97471.0845572812
2004-06-09,95943.570054131
2004-06-10,96647.9905150064
2004-06-15,96423.25363296
2004-06-16,96243.6656121326
2004-06-17,95746.8762927237
2004-06-18,96143.6256879587
2004-06-21,96102.4359897993
2004-06-22,95891.2494559358
2004-06-23,96233.4172481635
2004-06-24,96839.598564148
2004-06-25,96379.7151416947
2004-06-28,96457.2499425695
2004-06-29,96361.5826957633
2004-06-30,96887.2157650721
2004-07-01,97070.6975920289
2004-07-02,97381.5887128244
2004-07-06,96981.7605545169
2004-07-07,97370.7460859335
2004-07-08,97101.2247825387
2004-07-09,97172.44941953
2004-07-12,96865.5841485134
2004-07-13,96778.3279343033
2004-07-14,96539.1646204669
2004-07-15,96273.8800458341
2004-07-16,96922.9284685517
2004-07-19,96779.6886068512
2004-07-20,96495.7433166376
2004-07-21,95859.8088594393
2004-07-22,94901.1625583557
2004-07-23,94031.9478983035
2004-07-26,93620.490713193
2004-07-27,93869.6978041403
2004-07-28,93940.3785131563
2004-07-29,94743.1730972817
2004-07-30,94927.3970168501
2004-08-02,94884.1987656516
2004-08-03,94834.1829503468
2004-08-04,94927.8669967827
2004-08-05,94060.3972657993
2004-08-06,93644.7609963258
2004-08-09,93548.5326399986
2004-08-10,94053.9194775692
2004-08-11,93667.5181278668
2004-08-12,92912.4057958848
2004-08-13,93106.0726928967
2004-08-16,93847.9224562349
2004-08-17,94108.1821110543
2004-08-18,94613.057016265
2004-08-19,94732.3069125606
2004-08-20,94884.7434475996
2004-08-23,94399.7698763303
2004-08-24,94218.4969832047
2004-08-25,94509.2748267462
2004-08-26,94735.9889906231
2004-08-27,94866.8050766733
2004-08-30,94421.6881059243
2004-08-31,94935.5067354076
2004-09-01,95033.2765392189
2004-09-02,95373.3407012499
2004-09-03,94940.9212440155
2004-09-07,95573.6633335406
2004-09-08,95350.3689100787
2004-09-09,94779.9995162557
2004-09-10,95526.5944946927
2004-09-13,95782.3128445537
2004-09-14,96569.7512362963
2004-09-15,96500.3407515629
2004-09-16,97092.3578448452
2004-09-17,97971.5658527553
2004-09-20,98342.7138156305
2004-09-21,98850.0381037374
2004-09-22,97788.2363666255
2004-09-23,98170.8542106539
2004-09-24,97959.3305494818
2004-09-27,97486.2442045483
2004-09-28,98008.8496723008
2004-09-29,98354.9559238887
2004-09-30,98575.1626531964
2004-10-08,100067.606998666
2004-10-11,99966.8894220563
2004-10-12,99063.1797158868
2004-10-13,98823.7073366137
2004-10-14,97891.4803777687
2004-10-15,98254.3747892632
2004-10-18,98316.3204354028
2004-10-19,98378.0545772338
2004-10-20,98297.1226476439
2004-10-21,98410.4306981747
2004-10-22,98539.4392743231
2004-10-25,98098.1181494393
2004-10-26,98899.8096366179
2004-10-27,100046.704570377
2004-10-28,100592.017252577
2004-10-29,100630.155611882
2004-11-01,100731.74096751
2004-11-02,100891.117116981
2004-11-03,102284.207055882
2004-11-04,102794.458032487
2004-11-05,103481.197576716
