"Index","value"
2008-07-21,101699.033987859
2008-07-22,101554.214847441
2008-07-23,101315.086476254
2008-07-24,101369.481889791
2008-07-25,101294.347315389
2008-07-28,101400.854322941
2008-07-29,101184.971926064
2008-07-30,101224.372198673
2008-07-31,101263.120950011
2008-08-01,101206.062324903
2008-08-04,101098.297764617
2008-08-05,100801.815400559
2008-08-06,100767.819183649
2008-08-07,100929.999882609
2008-08-08,100630.028915268
2008-08-11,100336.36528084
2008-08-12,100263.884164955
2008-08-13,100346.43094716
2008-08-14,100400.338692758
2008-08-15,100151.859801682
2008-08-18,100412.524948783
2008-08-19,100261.126447775
2008-08-20,100550.266797518
2008-08-21,100747.352479256
2008-08-22,100544.905053569
2008-08-25,100561.472583664
