"Index","SP500.usd"
2007-08-21,10983.6408
2007-08-22,11129.86014
2007-08-23,11091.6
2007-08-24,11195.87216
2007-08-27,11088.9324
2007-08-28,10822.19598
2007-08-29,11049.92424
2007-08-30,10997.16498
2007-08-31,11121.25455
2007-09-04,11245.121
2007-09-05,11117.556248
2007-09-06,11146.49274
2007-09-07,10956.8599
2007-09-10,10918.2357
2007-09-11,11070.01927
2007-09-12,11068.632852
2007-09-13,11145.206475
2007-09-14,11155.623
2007-09-17,11108.83795
2007-09-18,11433.30494
2007-09-19,11487.60239
2007-09-20,11411.8875
2007-09-21,11447.70225
2007-09-24,11396.63457
2007-09-25,11398.79873
2007-09-26,11463.5313
2007-09-27,11507.55501
2007-10-01,11612.08224
2007-10-02,11609.00478
2007-10-03,11556.16254
2007-10-04,11580.55704
2007-10-05,11691.27054
2007-10-08,11649.939288
2007-10-09,11765.23255
2007-10-10,11736.493405
2007-10-11,11667.40146
2007-10-12,11729.8989
2007-10-15,11658.68888
2007-10-16,11566.66854
2007-10-17,11583.95984
2007-10-18,11567.54088
2007-10-19,11267.180229
2007-10-22,11311.785135
2007-10-23,11402.243565
2007-10-24,11359.701544
2007-10-25,11330.7408
2007-10-26,11496.17664
2007-10-29,11518.8255
2007-10-30,11439.01593
2007-10-31,11576.19267
2007-11-01,11254.47084
2007-11-02,11255.195575
2007-11-05,11197.17518
2007-11-06,11332.09258
2007-11-07,10982.30185
2007-11-08,10943.825739
2007-11-09,10774.09755
2007-11-12,10667.20216
2007-11-13,11009.385175
2007-11-14,10919.0565
2007-11-15,10770.4353
2007-11-16,10830.41513
2007-11-19,10643.46302
2007-11-20,10690.20441
2007-11-21,10499.68247
2007-11-23,10660.17151
2007-11-26,10409.065618
2007-11-27,10550.620656
2007-11-28,10863.4029
2007-11-29,10849.47304
2007-11-30,10957.47372
2007-12-03,10899.58905
2007-12-04,10822.451815
2007-12-05,10979.124433
2007-12-06,11174.66509
2007-12-07,11138.99798
2007-12-10,11212.04016
2007-12-11,10905.795825
2007-12-12,10962.11466
2007-12-13,10965.860675
2007-12-14,10820.25945
2007-12-17,10670.16364
2007-12-18,10745.0273
2007-12-19,10718.781
2007-12-20,10759.62428
2007-12-21,10933.0479
2007-12-24,10995.465665
2007-12-26,11000.013168
2007-12-27,10803.196233
2007-12-28,10799.038809
2007-12-31,10725.048276
2008-01-02,10555.295608
2008-01-03,10525.049964
2008-01-04,10266.78499
2008-01-07,10294.778892
2008-01-08,10099.313293
2008-01-09,10235.356668
2008-01-10,10327.787562
2008-01-11,10174.90775
2008-01-14,10269.936875
2008-01-15,10000.977995
2008-01-16,9931.53168
2008-01-17,9664.19595
2008-01-18,9597.423537
2008-01-22,9486.9716
2008-01-23,9681.02292
2008-01-24,9766.00161
2008-01-25,9594.496466
2008-01-28,9744.043932
2008-01-29,9801.61227
2008-01-30,9749.62971
2008-01-31,9901.02181
2008-02-01,10023.30186
2008-02-04,9930.719358
2008-02-05,9602.42176
2008-02-06,9536.64492
2008-02-07,9611.848136
2008-02-08,9571.442584
2008-02-11,9631.02296
2008-02-12,9698.3034
2008-02-13,9840.767417
2008-02-14,9698.3034
2008-02-15,9692.9282
2008-02-19,9643.777
2008-02-20,9716.05432
2008-02-21,9587.00673
2008-02-22,9664.182242
2008-02-25,9811.1136
2008-02-26,9885.89253
2008-02-27,9856.79285
2008-02-28,9727.624
2008-02-29,9463.307497
2008-03-03,9457.83936
2008-03-04,9428.4162
2008-03-05,9482.607
2008-03-06,9268.64004
2008-03-07,9197.671418
2008-03-10,9049.203905
2008-03-11,9380.709015
2008-03-12,9294.099278
2008-03-13,9327.279392
2008-03-14,9133.685484
2008-03-17,9042.41312
2008-03-18,9421.6392
2008-03-19,9175.544614
2008-03-20,9376.369275
2008-03-24,9524.07834
2008-03-25,9541.150181
2008-03-26,9427.339222
2008-03-27,9294.770784
2008-03-28,9222.32264
2008-03-31,9275.30148
2008-04-01,9607.70216
2008-04-02,9598.556317
2008-04-03,9609.132925
2008-04-04,9616.782
2008-04-07,9609.83881
2008-04-08,9560.418648
2008-04-09,9484.274429
2008-04-10,9512.9656
2008-04-11,9338.473395
2008-04-14,9297.443008
2008-04-15,9331.001775
2008-04-16,9542.325262
2008-04-17,9537.344152
2008-04-18,9723.828987
2008-04-21,9717.19
2008-04-22,9616.44466
2008-04-23,9635.361225
2008-04-24,9704.37975
2008-04-25,9798.8584
2008-04-28,9777.941288
2008-04-29,9715.576806
2008-04-30,9683.195715
2008-05-01,9849.17259
2008-05-02,9881.04015
2008-05-05,9835.962367
2008-05-06,9910.375402
2008-05-07,9732.67173
2008-05-08,9790.468864
2008-05-09,9701.022984
2008-05-12,9809.059188
2008-05-13,9805.425648
2008-05-14,9864.282516
2008-05-15,9957.445079
2008-05-16,9966.759875
2008-05-19,9947.177675
2008-05-20,9856.3449
2008-05-21,9678.924387
2008-05-22,9681.669225
2008-05-23,9551.155688
