Index,value
2009/2/18,2.327012987
2009/2/19,2.31412987
2009/2/20,2.344727273
2009/2/23,2.407532468
2009/2/24,2.264207792
2009/2/25,2.289974026
2009/2/26,2.206233766
2009/2/27,2.175636364
2009/3/2,2.178857143
2009/3/3,2.141818182
2009/3/4,2.331844156
2009/3/5,2.360831169
2009/3/6,2.339896104
2009/3/9,2.248103896
2009/3/10,2.283532468
2009/3/11,2.259376623
2009/3/12,2.256155844
2009/3/13,2.251324675
2009/3/16,2.310909091
2009/3/17,2.393038961
2009/3/18,2.384987013
2009/3/19,2.430077922
2009/3/20,2.420415584
2009/3/23,2.484831169
2009/3/24,2.497714286
2009/3/25,2.451012987
2009/3/26,2.568571429
2009/3/27,2.576623377
2009/3/30,2.56374026
2009/3/31,2.589506494
2009/4/1,2.620103896
2009/4/2,2.661974026
2009/4/3,2.682909091
2009/4/7,2.690961039
2009/4/8,2.565350649
2009/4/9,2.610441558
2009/4/10,2.68612987
2009/4/13,2.761818182
2009/4/14,2.76825974
2009/4/15,2.756987013
2009/4/16,2.753766234
2009/4/17,2.715116883
2009/4/20,2.776311688
2009/4/21,2.72638961
2009/4/22,2.647480519
2009/4/23,2.641038961
2009/4/24,2.616883117
2009/4/27,2.565350649
2009/4/28,2.56374026
2009/4/29,2.679688312
2009/4/30,2.679688312
2009/5/4,2.779532468
2009/5/5,2.785974026
2009/5/6,2.819792208
2009/5/7,2.831064935
2009/5/8,2.89225974
2009/5/11,2.845558442
2009/5/12,2.900311688
2009/5/13,2.930909091
2009/5/14,2.877766234
2009/5/15,2.884207792
2009/5/18,2.901922078
2009/5/19,2.938961039
2009/5/20,2.89387013
2009/5/21,2.81174026
2009/5/22,2.81012987
2009/5/25,2.821402597
2009/5/26,2.76987013
2009/5/27,2.845558442
2009/6/1,2.985662338
2009/6/2,2.979220779
2009/6/3,3.111272727
2009/6/4,3.133818182
2009/6/5,3.120935065
2009/6/8,3.153142857
2009/6/9,3.178909091
2009/6/10,3.206285714
2009/6/11,3.188571429
2009/6/12,3.122545455
2009/6/15,3.214337662
2009/6/16,3.190181818
2009/6/17,3.236883117
2009/6/18,3.314181818
2009/6/19,3.364103896
2009/6/22,3.370545455
2009/6/23,3.386649351
2009/6/24,3.396311688
2009/6/25,3.393090909
2009/6/26,3.402753247
2009/6/29,3.492935065
2009/6/30,3.472
2009/7/1,3.573454545
2009/7/2,3.63787013
2009/7/3,3.684571429
2009/7/6,3.747376623
2009/7/7,3.687792208
2009/7/8,3.662025974
2009/7/9,3.716779221
2009/7/10,3.691012987
2009/7/13,3.615324675
2009/7/14,3.748987013
2009/7/15,3.789246753
2009/7/16,3.824675325
2009/7/17,3.84561039
2009/7/20,3.92612987
2009/7/21,3.861714286
2009/7/22,3.958337662
2009/7/23,4.014701299
2009/7/24,4.061402597
2009/7/27,4.164467532
2009/7/28,4.141922078
2009/7/29,3.929350649
2009/7/30,4.072675325
2009/7/31,4.180571429
2009/8/3,4.211168831
2009/8/4,4.169298701
2009/8/5,4.09038961
2009/8/6,3.988935065
2009/8/7,3.887480519
2009/8/10,3.856883117
2009/8/11,3.858493506
2009/8/12,3.655584416
2009/8/13,3.71838961
2009/8/14,3.628207792
2009/8/17,3.407584416
2009/8/18,3.422077922
2009/8/19,3.248155844
2009/8/20,3.415636364
2009/8/21,3.462337662
2009/8/24,3.467168831
2009/8/25,3.296467532
2009/8/26,3.352831169
2009/8/27,3.320623377
2009/8/28,3.193402597
2009/8/31,2.93412987
2009/9/1,3.004987013
2009/9/2,3.079064935
2009/9/3,3.259428571
2009/9/4,3.259428571
2009/9/7,3.278753247
2009/9/8,3.356051948
2009/9/9,3.360883117
2009/9/10,3.322233766
2009/9/11,3.443012987
2009/9/14,3.481662338
2009/9/15,3.481662338
2009/9/16,3.412415584
2009/9/17,3.484883117
2009/9/18,3.344779221
2009/9/21,3.34638961
2009/9/22,3.251376623
2009/9/23,3.204675325
2009/9/24,3.249766234
2009/9/25,3.243324675
2009/9/28,3.143480519
2009/9/29,3.164415584
2009/9/30,3.204675325
2009/10/9,3.385038961
2009/10/12,3.351220779
2009/10/13,3.417246753
2009/10/14,3.438181818
2009/10/15,3.460727273
2009/10/16,3.457506494
2009/10/19,3.552519481
2009/10/20,3.602441558
2009/10/21,3.59761039
2009/10/22,3.562181818
2009/10/23,3.639480519
2009/10/26,3.649142857
2009/10/27,3.534805195
2009/10/28,3.523532468
2009/10/29,3.428519481
2009/10/30,3.472
2009/11/2,3.615324675
2009/11/3,3.653974026
2009/11/4,3.676519481
2009/11/5,3.686181818
2009/11/6,3.695844156
2009/11/9,3.707116883
2009/11/10,3.72
2009/11/11,3.694233766
2009/11/12,3.681350649
2009/11/13,3.715168831
2009/11/16,3.840779221
2009/11/17,3.840779221
2009/11/18,3.837558442
2009/11/19,3.839168831
2009/11/20,3.80212987
2009/11/23,3.821454545
2009/11/24,3.716779221
2009/11/25,3.776363636
2009/11/26,3.604051948
2009/11/27,3.497766234
2009/11/30,3.620155844
2009/12/1,3.655584416
2009/12/2,3.692623377
2009/12/3,3.666857143
2009/12/4,3.818233766
2009/12/7,3.821454545
2009/12/8,3.747376623
2009/12/9,3.660415584
2009/12/10,3.687792208
2009/12/11,3.687792208
2009/12/14,3.76025974
2009/12/15,3.707116883
2009/12/16,3.686181818
2009/12/17,3.615324675
2009/12/18,3.55412987
2009/12/21,3.529974026
2009/12/22,3.452675325
2009/12/23,3.463948052
2009/12/24,3.562181818
2009/12/25,3.518701299
2009/12/28,3.587948052
2009/12/29,3.626597403
2009/12/30,3.734493506
2009/12/31,3.76187013
2010/1/4,3.686181818
2010/1/5,3.737714286
2010/1/6,3.686181818
2010/1/7,3.605662338
2010/1/8,3.605662338
2010/1/11,3.623376623
2010/1/12,3.674909091
2010/1/13,3.496155844
2010/1/14,3.531584416
2010/1/15,3.541246753
2010/1/18,3.529974026
2010/1/19,3.55574026
2010/1/20,3.434961039
2010/1/21,3.467168831
2010/1/22,3.468779221
2010/1/25,3.433350649
2010/1/26,3.359272727
2010/1/27,3.283584416
2010/1/28,3.26425974
2010/1/29,3.254597403
2010/2/1,3.196623377
2010/2/2,3.209506494
2010/2/3,3.315792208
2010/2/4,3.288415584
2010/2/5,3.214337662
2010/2/8,3.203064935
2010/2/9,3.228831169
2010/2/10,3.285194805
2010/2/11,3.293246753
2010/2/12,3.323844156
2010/2/22,3.298077922
2010/2/23,3.232051948
2010/2/24,3.267480519
2010/2/25,3.323844156
2010/2/26,3.312571429
2010/3/1,3.373766234
2010/3/2,3.362493506
2010/3/3,3.378597403
2010/3/4,3.294857143
2010/3/5,3.301298701
2010/3/8,3.328675325
2010/3/9,3.354441558
2010/3/10,3.338337662
2010/3/11,3.351220779
2010/3/12,3.309350649
2010/3/15,3.246545455
2010/3/16,3.278753247
2010/3/17,3.354441558
2010/3/18,3.335116883
2010/3/19,3.367324675
2010/3/22,3.368935065
2010/3/23,3.327064935
2010/3/24,3.330285714
2010/3/25,3.275532468
2010/3/26,3.338337662
2010/3/29,3.451064935
2010/3/30,3.457506494
2010/3/31,3.425298701
2010/4/1,3.462337662
2010/4/2,3.465558442
2010/4/6,3.463948052
2010/4/7,3.439792208
2010/4/8,3.378597403
2010/4/9,3.412415584
2010/4/12,3.367324675
2010/4/13,3.444623377
2010/4/14,3.459116883
2010/4/15,3.449454545
2010/4/16,3.393090909
2010/4/19,3.199844156
2010/4/20,3.186961039
2010/4/21,3.236883117
2010/4/22,3.154753247
2010/4/23,3.132207792
2010/4/26,3.103220779
2010/4/27,3.040415584
2010/4/28,3.030753247
2010/4/29,3.019480519
2010/4/30,3.072623377
2010/5/4,3.025922078
2010/5/5,3.033974026
2010/5/6,2.876155844
2010/5/7,2.839116883
2010/5/10,2.882597403
2010/5/11,2.819792208
2010/5/12,2.876155844
2010/5/13,2.937350649
2010/5/14,2.903532468
2010/5/17,2.756987013
2010/5/18,2.824623377
2010/5/19,2.806909091
2010/5/20,2.752155844
2010/5/21,2.784363636
2010/5/24,2.887428571
2010/5/25,2.802077922
2010/5/26,2.803688312
2010/5/27,2.852
2010/5/28,2.834285714
2010/5/31,2.765038961
2010/6/1,2.734441558
2010/6/2,2.72961039
2010/6/3,2.711896104
2010/6/4,2.710285714
2010/6/7,2.647480519
2010/6/8,2.634597403
2010/6/9,2.734441558
2010/6/10,2.684519481
2010/6/11,2.695792208
2010/6/17,2.694181818
2010/6/18,2.668415584
2010/6/21,2.777922078
2010/6/22,2.773090909
2010/6/23,2.742493506
2010/6/24,2.760207792
2010/6/25,2.750545455
2010/6/28,2.752155844
2010/6/29,2.624935065
2010/6/30,2.595948052
2010/7/1,2.576623377
2010/7/2,2.599168831
2010/7/5,2.570181818
2010/7/6,2.618493506
2010/7/7,2.620103896
2010/7/8,2.628155844
2010/7/9,2.695792208
2010/7/12,2.713506494
2010/7/13,2.666805195
2010/7/14,2.68612987
2010/7/15,2.637818182
2010/7/16,2.632987013
2010/7/19,2.703844156
2010/7/20,2.758597403
2010/7/21,2.758597403
2010/7/22,2.795636364
2010/7/23,2.814961039
2010/7/26,2.819792208
2010/7/27,2.800467532
2010/7/28,2.890649351
2010/7/29,2.895480519
2010/7/30,2.887428571
2010/8/2,2.940571429
2010/8/3,2.869714286
2010/8/4,2.880987013
2010/8/5,2.834285714
2010/8/6,2.884207792
2010/8/9,2.887428571
2010/8/10,2.806909091
2010/8/11,2.81012987
2010/8/12,2.773090909
2010/8/13,2.798857143
2010/8/16,2.868103896
2010/8/17,2.884207792
2010/8/18,2.869714286
2010/8/19,2.903532468
2010/8/20,2.858441558
2010/8/23,2.85038961
2010/8/24,2.845558442
2010/8/25,2.779532468
2010/8/26,2.771480519
