"Index","price"
2007-08-06,2642.64511
2007-08-07,2643.245948
2007-08-08,2622.17239
2007-08-09,2629.023552
2007-08-10,2634.76738
2007-08-13,2637.89821
2007-08-14,2644.968032
2007-08-15,2653.431448
2007-08-16,2682.94664
2007-08-17,2666.83235
2007-08-20,2671.179375
2007-08-21,2682.0783
2007-08-22,2679.85704
2007-08-23,2674.8768
2007-08-24,2667.56864
2007-08-27,2672.3088
2007-08-28,2685.07359
2007-08-29,2679.59304
2007-08-30,2686.74734
2007-08-31,2680.1349
2007-09-03,2680.401174
2007-09-04,2678.891
2007-09-05,2698.345808
2007-09-06,2688.33608
2007-09-07,2717.37362
2007-09-10,2720.79696
2007-09-11,2713.47087
2007-09-12,2703.900716
2007-09-13,2683.65186
2007-09-14,2690.95348
2007-09-17,2692.10555
2007-09-18,2690.82664
2007-09-19,2677.78346
2007-09-20,2648.98556
2007-09-21,2653.43595
2007-09-24,2657.13474
2007-09-25,2661.32999
2007-09-26,2662.18875
2007-09-27,2671.179315
2007-09-28,2667.93264
2007-10-01,2673.18684
2007-10-02,2678.81634
2007-10-03,2676.2643
2007-10-04,2679.86718
2007-10-05,2657.19906
2007-10-08,2656.64958
2007-10-09,2659.74011
2007-10-10,2658.92077
2007-10-11,2655.09738
2007-10-12,2651.95755
2007-10-15,2661.148
2007-10-16,2660.77056
2007-10-17,2683.13684
2007-10-18,2691.71707
2007-10-19,2712.598624
2007-10-22,2714.83444
2007-10-23,2710.71441
2007-10-24,2723.097044
2007-10-25,2714.02068
2007-10-26,2709.68256
2007-10-29,2706.92175
2007-10-30,2706.401445
2007-10-31,2688.469845
2007-11-01,2707.96995
2007-11-02,2720.95928
2007-11-05,2715.4922
2007-11-06,2707.2928
2007-11-07,2707.8792
2007-11-08,2712.26585
2007-11-09,2720.76165
2007-11-12,2720.9452
2007-11-13,2719.694645
2007-11-14,2715.471
2007-11-15,2737.75314
2007-11-16,2741.942095
2007-11-19,2758.53622
2007-11-20,2764.587696
2007-11-21,2767.19329
2007-11-22,2767.86316
2007-11-23,2764.896431
2007-11-26,2800.318402
2007-11-27,2777.070096
2007-11-28,2762.55015
2007-11-29,2776.0011
2007-11-30,2776.8393
2007-12-03,2795.7762
2007-12-04,2795.00533
2007-12-05,2789.49209
2007-12-06,2776.281615
2007-12-07,2747.40136
2007-12-10,2738.369
2007-12-11,2766.728035
2007-12-12,2746.88874
2007-12-13,2724.133125
2007-12-14,2712.89655
2007-12-17,2724.769708
2007-12-18,2743.60135
2007-12-19,2751.47346
2007-12-20,2757.62718
2007-12-21,2726.30205
2007-12-24,2711.007392
2007-12-25,2704.8069
2007-12-26,2694.366432
2007-12-27,2703.671334
2007-12-28,2722.23807
2007-12-31,2735.750655
2008-01-01,2736.042819
2008-01-02,2762.52675
2008-01-03,2753.301753
2008-01-04,2765.26733
2008-01-07,2767.969438
2008-01-08,2766.034525
2008-01-09,2776.729008
2008-01-10,2758.841874
2008-01-11,2773.83925
2008-01-14,2773.69875
2008-01-15,2790.308709
2008-01-16,2783.967732
2008-01-17,2807.092836
2008-01-18,2803.928868
2008-01-21,2803.7152
2008-01-22,2839.359024
2008-01-23,2850.57163
2008-01-24,2798.47912
2008-01-25,2807.014474
2008-01-28,2802.898749
2008-01-29,2785.001892
2008-01-30,2766.52152
2008-01-31,2785.61627
2008-02-01,2795.12079
2008-02-04,2789.378415
2008-02-05,2798.95824
2008-02-06,2794.885104
2008-02-07,2768.858752
2008-02-08,2788.702048
2008-02-11,2797.18456
2008-02-12,2782.2424
2008-02-13,2781.91105
2008-02-14,2748.737
2008-02-15,2754.6788
2008-02-18,2749.40235
2008-02-19,2723.0775
2008-02-20,2712.71968
2008-02-21,2741.64413
2008-02-22,2741.604892
2008-02-25,2718.90432
2008-02-26,2730.68178
2008-02-27,2725.649425
2008-02-28,2745.7095
2008-02-29,2789.002704
2008-03-03,2784.83904
2008-03-04,2778.24708
2008-03-05,2750.0058
2008-03-06,2764.66036
2008-03-07,2788.73551
2008-03-10,2811.04714
2008-03-11,2773.121271
2008-03-12,2799.300866
2008-03-13,2782.414768
2008-03-14,2810.430216
2008-03-17,2832.784176
2008-03-18,2797.2372
2008-03-19,2815.019945
2008-03-20,2817.19165
2008-03-21,2818.16721
2008-03-24,2775.280925
2008-03-25,2780.423132
2008-03-26,2771.200362
2008-03-27,2755.98479
2008-03-28,2772.26432
2008-03-31,2780.4166
2008-04-01,2753.40204
2008-04-02,2748.250295
2008-04-03,2746.22845
2008-04-04,2771.982675
2008-04-07,2749.34902
2008-04-08,2749.091192
2008-04-09,2770.941033
2008-04-10,2752.19104
2008-04-11,2772.05166
2008-04-14,2761.753258
2008-04-15,2744.486325
2008-04-16,2715.910324
2008-04-17,2706.02829
2008-04-18,2707.548507
2008-04-21,2716.63
2008-04-22,2711.732
2008-04-23,2706.6963
2008-04-24,2688.161125
2008-04-25,2688.5453
2008-04-28,2693.82328
2008-04-29,2689.116651
2008-04-30,2704.68927
2008-05-01,2707.694325
2008-05-02,2687.287905
2008-05-05,2687.280882
2008-05-06,2676.568608
2008-05-07,2683.56633
2008-05-08,2704.062944
2008-05-09,2707.562866
2008-05-12,2706.614894
2008-05-13,2676.252778
2008-05-14,2674.222914
2008-05-15,2693.169341
2008-05-16,2692.322275
2008-05-19,2686.992325
2008-05-20,2701.464165
2008-05-21,2685.121857
2008-05-22,2658.52728
2008-05-23,2677.166872
2008-05-26,2675.477415
2008-05-27,2661.7805
2008-05-28,2641.99698
2008-05-29,2624.399433
2008-05-30,2633.84565
2008-06-02,2646.74208
2008-06-03,2659.830816
2008-06-04,2656.194138
2008-06-05,2640.5874
2008-06-06,2652.170379
2008-06-09,2640.608802
2008-06-10,2616.41419
2008-06-11,2622.19872
2008-06-12,2590.3125
2008-06-13,2576.8617
2008-06-16,2579.68292
2008-06-17,2581.725182
2008-06-18,2593.21296
2008-06-19,2581.8135
2008-06-20,2597.23775
2008-06-23,2588.686236
2008-06-24,2601.05772
2008-06-25,2597.211643
2008-06-26,2614.115275
2008-06-27,2623.540612
2008-06-30,2623.247424
2008-07-01,2620.378952
2008-07-02,2627.410009
2008-07-03,2623.38492
2008-07-04,2627.27136
2008-07-07,2643.536956
2008-07-08,2648.049572
2008-07-09,2657.662458
2008-07-10,2657.508644
2008-07-11,2626.207948
2008-07-14,2643.568829
2008-07-15,2643.146788
2008-07-16,2620.561884
2008-07-17,2601.764096
2008-07-18,2592.292704
2008-07-21,2601.2738
2008-07-22,2591.222745
2008-07-23,2585.034045
2008-07-24,2612.122539
2008-07-25,2589.51525
