"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2008","2,157.14","2,157.14","2,157.14","2,157.14","0","0.01"
"Jun 13, 2008","2,156.96","2,156.96","2,156.96","2,156.96","0","1.51"
"Jun 12, 2008","2,124.94","2,124.94","2,124.94","2,124.94","0","0.34"
"Jun 11, 2008","2,117.84","2,117.84","2,117.84","2,117.84","0","-1.67"
"Jun 10, 2008","2,153.77","2,153.77","2,153.77","2,153.77","0","-0.24"
"Jun 09, 2008","2,159.03","2,159.03","2,159.03","2,159.03","0","0.08"
"Jun 06, 2008","2,157.24","2,157.24","2,157.24","2,157.24","0","-3.08"
"Jun 05, 2008","2,225.74","2,225.74","2,225.74","2,225.74","0","1.96"
"Jun 04, 2008","2,183.01","2,183.01","2,183.01","2,183.01","0","0.02"
"Jun 03, 2008","2,182.65","2,182.65","2,182.65","2,182.65","0","-0.58"
"Jun 02, 2008","2,195.27","2,195.27","2,195.27","2,195.27","0","-1.05"
"May 30, 2008","2,218.50","2,218.50","2,218.50","2,218.50","0","0.15"
"May 29, 2008","2,215.12","2,215.12","2,215.12","2,215.12","0","0.55"
"May 28, 2008","2,203.10","2,203.10","2,203.10","2,203.10","0","0.42"
"May 27, 2008","2,193.98","2,193.98","2,193.98","2,193.98","0","0.68"
"May 23, 2008","2,179.05","2,179.05","2,179.05","2,179.05","0","-1.32"
"May 22, 2008","2,208.20","2,208.20","2,208.20","2,208.20","0","0.28"
"May 21, 2008","2,202.02","2,202.02","2,202.02","2,202.02","0","-1.60"
"May 20, 2008","2,237.79","2,237.79","2,237.79","2,237.79","0","-0.93"
"May 19, 2008","2,258.74","2,258.74","2,258.74","2,258.74","0","0.09"
"May 16, 2008","2,256.63","2,256.63","2,256.63","2,256.63","0","0.13"
"May 15, 2008","2,253.76","2,253.76","2,253.76","2,253.76","0","1.08"
"May 14, 2008","2,229.74","2,229.74","2,229.74","2,229.74","0","0.42"
"May 13, 2008","2,220.46","2,220.46","2,220.46","2,220.46","0","-0.02"
"May 12, 2008","2,220.81","2,220.81","2,220.81","2,220.81","0","1.11"
"May 09, 2008","2,196.54","2,196.54","2,196.54","2,196.54","0","-0.65"
"May 08, 2008","2,210.95","2,210.95","2,210.95","2,210.95","0","0.37"
"May 07, 2008","2,202.77","2,202.77","2,202.77","2,202.77","0","-1.77"
"May 06, 2008","2,242.47","2,242.47","2,242.47","2,242.47","0","0.77"
"May 05, 2008","2,225.37","2,225.37","2,225.37","2,225.37","0","-0.44"
"May 02, 2008","2,235.30","2,235.30","2,235.30","2,235.30","0","0.32"
"May 01, 2008","2,228.09","2,228.09","2,228.09","2,228.09","0","1.73"
"Apr 30, 2008","2,190.13","2,190.13","2,190.13","2,190.13","0","-0.38"
"Apr 29, 2008","2,198.50","2,198.50","2,198.50","2,198.50","0","-0.39"
"Apr 28, 2008","2,207.02","2,207.02","2,207.02","2,207.02","0","-0.10"
"Apr 25, 2008","2,209.25","2,209.25","2,209.25","2,209.25","0","0.65"
"Apr 24, 2008","2,194.96","2,194.96","2,194.96","2,194.96","0","0.64"
"Apr 23, 2008","2,180.91","2,180.91","2,180.91","2,180.91","0","0.29"
"Apr 22, 2008","2,174.59","2,174.59","2,174.59","2,174.59","0","-0.88"
"Apr 21, 2008","2,193.87","2,193.87","2,193.87","2,193.87","0","-0.15"
"Apr 18, 2008","2,197.24","2,197.24","2,197.24","2,197.24","0","1.81"
"Apr 17, 2008","2,158.08","2,158.08","2,158.08","2,158.08","0","0.07"
